source,target,color,val
raw_dm,dm,Yellow,1
raw_dm,ae,Yellow,2
raw_dm,sv,Yellow,3
raw_dm,tu,Yellow,4
raw_dm,tr,Yellow,5
raw_dm,lb,Yellow,6
raw_dm,pp,Yellow,7
raw_dm,rp,Yellow,8
raw_dm,vs,Yellow,9
raw_dm,se,Yellow,10
raw_dm,tv,Yellow,11
raw_dm,ta,Yellow,12
raw_vs,ta,Blue,13
raw_vs,sv,Blue,14
raw_vs,dm,Blue,15
raw_vs,ae,Blue,16
raw_vs,lb,Blue,17
raw_vs,pp,Blue,18
raw_vs,vs,Blue,19
raw_ae,ae,Green,20
raw_ae,lb,Green,21
raw_ae,sv,Green,22
raw_ae,vs,Green,23
raw_ae,dm,Green,24
raw_lb,lb,Yellow,25
raw_lb,pp,Yellow,26
raw_lb,dm,Yellow,27
raw_lb,ae,Yellow,28
raw_lb,vs,Yellow,29
